eps,min_samples,clusters,noise,pleiades_cluster,pleiades_cluster_size,reference_members,reference_in_sample,tp,fp,fn,tn,precision,recall,f1,median_parallax,median_pmra,median_pmdec
0.001,10,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,15,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,20,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,30,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,40,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,50,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,60,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,70,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,80,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,120,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,200,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.001,400,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,10,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,15,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,20,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,30,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,40,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,50,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,60,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,70,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,80,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,120,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,200,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.01,400,0,35262,-1,0,958,881,0,0,881,34381,0.0,0.0,0.0,nan,nan,nan
0.05,10,44,15984,7,992,958,881,867,125,14,34256,0.873991935483871,0.9841089670828603,0.9257875066737853,7.368195491068983,19.868070568705015,-45.42015229752977
0.05,15,19,18214,3,962,958,881,858,104,23,34277,0.8918918918918919,0.9738933030646992,0.9310906131307651,7.372819172228299,19.870907404119983,-45.4355380502904
0.05,20,11,20076,2,907,958,881,825,82,56,34299,0.9095920617420066,0.9364358683314415,0.9228187919463087,7.368695724018906,19.852902320182725,-45.39186369950472
0.05,30,3,22619,1,866,958,881,793,73,88,34308,0.9157043879907621,0.9001135073779796,0.9078420148826559,7.368195491068983,19.859429926684435,-45.37606715904805
0.05,40,4,24559,2,804,958,881,745,59,136,34322,0.9266169154228856,0.8456299659477866,0.884272997032641,7.368195491068983,19.869858050051928,-45.4033322122767
0.05,50,2,26149,1,737,958,881,682,55,199,34326,0.9253731343283582,0.7741203178206584,0.8430160692212608,7.370803781679368,19.86916964413539,-45.41689926668445
0.05,60,2,27597,1,676,958,881,630,46,251,34335,0.9319526627218935,0.7150964812712827,0.8092485549132948,7.364107419837981,19.867312315363534,-45.39714766590334
0.05,70,2,28694,1,625,958,881,584,41,297,34340,0.9344,0.662883087400681,0.7755644090305445,7.367449998542193,19.867198714896627,-45.43698205824119
