min_cluster_size,min_samples,clusters,noise,pleiades_cluster,pleiades_cluster_size,reference_members,reference_in_sample,tp,fp,fn,tn,precision,recall,f1,median_parallax,median_pmra,median_pmdec
20,10,4,6454,0,1214,958,881,881,333,0,34048,0.7257001647446458,1.0,0.8410501193317423,7.359204638484388,19.79220168477817,-45.350438367495826
20,15,2,3582,1,1214,958,881,881,333,0,34048,0.7257001647446458,1.0,0.8410501193317423,7.359204638484388,19.79767398936751,-45.350438367495826
20,20,2,3677,1,1206,958,881,881,325,0,34056,0.7305140961857379,1.0,0.8442740776233828,7.3605345637454995,19.81199002409317,-45.359871195400814
20,30,2,3374,1,1210,958,881,881,329,0,34052,0.728099173553719,1.0,0.8426590148254424,7.3605345637454995,19.815249084308277,-45.35788626246527
50,10,2,3481,1,1214,958,881,881,333,0,34048,0.7257001647446458,1.0,0.8410501193317423,7.359204638484388,19.79220168477817,-45.350438367495826
50,15,2,3582,1,1214,958,881,881,333,0,34048,0.7257001647446458,1.0,0.8410501193317423,7.359204638484388,19.79767398936751,-45.350438367495826
50,20,2,3677,1,1206,958,881,881,325,0,34056,0.7305140961857379,1.0,0.8442740776233828,7.3605345637454995,19.81199002409317,-45.359871195400814
50,30,2,3374,1,1210,958,881,881,329,0,34052,0.728099173553719,1.0,0.8426590148254424,7.3605345637454995,19.815249084308277,-45.35788626246527
100,10,2,3481,1,1214,958,881,881,333,0,34048,0.7257001647446458,1.0,0.8410501193317423,7.359204638484388,19.79220168477817,-45.350438367495826
100,15,2,3582,1,1214,958,881,881,333,0,34048,0.7257001647446458,1.0,0.8410501193317423,7.359204638484388,19.79767398936751,-45.350438367495826
100,20,2,3677,1,1206,958,881,881,325,0,34056,0.7305140961857379,1.0,0.8442740776233828,7.3605345637454995,19.81199002409317,-45.359871195400814
100,30,2,3374,1,1210,958,881,881,329,0,34052,0.728099173553719,1.0,0.8426590148254424,7.3605345637454995,19.815249084308277,-45.35788626246527
200,10,2,3481,1,1214,958,881,881,333,0,34048,0.7257001647446458,1.0,0.8410501193317423,7.359204638484388,19.79220168477817,-45.350438367495826
200,15,2,3582,1,1214,958,881,881,333,0,34048,0.7257001647446458,1.0,0.8410501193317423,7.359204638484388,19.79767398936751,-45.350438367495826
200,20,2,3677,1,1206,958,881,881,325,0,34056,0.7305140961857379,1.0,0.8442740776233828,7.3605345637454995,19.81199002409317,-45.359871195400814
200,30,2,3374,1,1210,958,881,881,329,0,34052,0.728099173553719,1.0,0.8426590148254424,7.3605345637454995,19.815249084308277,-45.35788626246527
